C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C3:1
C30:1
C31:1
C32:1
C33:1
C34:1
C35:1
C36:1
C37:1
C38:1
C39:1
C4:1
C40:1
C41:1
C42:1
C43:1
C44:1
C45:1
C46:1
C47:1
C48:1
C49:1
C5:1
C50:1
C51:1
C52:1
C53:1
C54:1
C55:1
C56:1
C6:1
C7:1
C8:1
C9:1
G***:2
J1:1
J2:1
J3:1
R1:1
R10:1
R100:1
R101:1
R102:1
R103:1
R104:1
R105:1
R106:1
R107:1
R108:1
R109:1
R11:1
R110:1
R111:1
R112:1
R113:1
R114:1
R115:1
R116:1
R117:1
R118:1
R119:1
R12:1
R120:1
R121:1
R122:1
R123:1
R124:1
R125:1
R126:1
R127:1
R128:1
R129:1
R13:1
R130:1
R131:1
R132:1
R133:1
R134:1
R135:1
R136:1
R137:1
R138:1
R139:1
R14:1
R140:1
R141:1
R142:1
R143:1
R144:1
R145:1
R146:1
R147:1
R148:1
R149:1
R15:1
R150:1
R151:1
R152:1
R153:1
R154:1
R155:1
R156:1
R157:1
R158:1
R159:1
R16:1
R160:1
R161:1
R162:1
R163:1
R164:1
R165:1
R166:1
R167:1
R168:1
R169:1
R17:1
R170:1
R171:1
R172:1
R173:1
R174:1
R175:1
R176:1
R177:1
R178:1
R179:1
R18:1
R180:1
R181:1
R182:1
R183:1
R184:1
R185:1
R186:1
R187:1
R188:1
R189:1
R19:1
R190:1
R191:1
R192:1
R193:1
R194:1
R195:1
R196:1
R197:1
R198:1
R199:1
R2:1
R20:1
R200:1
R201:1
R202:1
R203:1
R204:1
R205:1
R206:1
R207:1
R208:1
R209:1
R21:1
R210:1
R211:1
R212:1
R213:1
R214:1
R215:1
R216:1
R217:1
R218:1
R219:1
R22:1
R220:1
R221:1
R222:1
R223:1
R224:1
R225:1
R226:1
R227:1
R228:1
R229:1
R23:1
R230:1
R231:1
R232:1
R233:1
R234:1
R235:1
R236:1
R237:1
R238:1
R239:1
R24:1
R240:1
R241:1
R242:1
R243:1
R244:1
R245:1
R246:1
R247:1
R248:1
R249:1
R25:1
R250:1
R251:1
R252:1
R253:1
R254:1
R255:1
R256:1
R257:1
R258:1
R259:1
R26:1
R260:1
R261:1
R262:1
R263:1
R264:1
R265:1
R266:1
R267:1
R268:1
R269:1
R27:1
R270:1
R271:1
R272:1
R273:1
R274:1
R275:1
R276:1
R277:1
R278:1
R279:1
R28:1
R280:1
R281:1
R282:1
R283:1
R284:1
R285:1
R286:1
R287:1
R288:1
R289:1
R29:1
R290:1
R291:1
R292:1
R293:1
R294:1
R295:1
R296:1
R297:1
R298:1
R299:1
R3:1
R30:1
R300:1
R301:1
R302:1
R303:1
R304:1
R305:1
R306:1
R307:1
R308:1
R309:1
R31:1
R310:1
R311:1
R312:1
R313:1
R314:1
R315:1
R316:1
R317:1
R318:1
R319:1
R32:1
R320:1
R321:1
R322:1
R323:1
R324:1
R325:1
R326:1
R327:1
R328:1
R329:1
R33:1
R330:1
R331:1
R332:1
R333:1
R334:1
R335:1
R336:1
R337:1
R338:1
R339:1
R34:1
R340:1
R341:1
R342:1
R343:1
R344:1
R345:1
R346:1
R347:1
R348:1
R349:1
R35:1
R350:1
R351:1
R352:1
R353:1
R354:1
R355:1
R356:1
R357:1
R358:1
R359:1
R36:1
R360:1
R361:1
R362:1
R363:1
R364:1
R365:1
R366:1
R367:1
R368:1
R369:1
R37:1
R370:1
R371:1
R372:1
R373:1
R374:1
R375:1
R376:1
R377:1
R378:1
R379:1
R38:1
R380:1
R381:1
R382:1
R383:1
R384:1
R385:1
R386:1
R387:1
R388:1
R389:1
R39:1
R390:1
R391:1
R392:1
R393:1
R394:1
R395:1
R396:1
R397:1
R398:1
R399:1
R4:1
R40:1
R400:1
R401:1
R402:1
R403:1
R404:1
R405:1
R406:1
R407:1
R408:1
R409:1
R41:1
R410:1
R411:1
R412:1
R413:1
R414:1
R415:1
R416:1
R417:1
R418:1
R419:1
R42:1
R420:1
R43:1
R44:1
R45:1
R46:1
R47:1
R48:1
R49:1
R5:1
R50:1
R51:1
R52:1
R53:1
R54:1
R55:1
R56:1
R57:1
R58:1
R59:1
R6:1
R60:1
R61:1
R62:1
R63:1
R64:1
R65:1
R66:1
R67:1
R68:1
R69:1
R7:1
R70:1
R71:1
R72:1
R73:1
R74:1
R75:1
R76:1
R77:1
R78:1
R79:1
R8:1
R80:1
R81:1
R82:1
R83:1
R84:1
R85:1
R86:1
R87:1
R88:1
R89:1
R9:1
R90:1
R91:1
R92:1
R93:1
R94:1
R95:1
R96:1
R97:1
R98:1
R99:1
REF**:3
S1:1
S2:1
S3:1
S4:1
S5:1
SEGD1:1
SEGD10:1
SEGD11:1
SEGD12:1
SEGD13:1
SEGD14:1
SEGD15:1
SEGD16:1
SEGD17:1
SEGD18:1
SEGD19:1
SEGD2:1
SEGD20:1
SEGD21:1
SEGD22:1
SEGD23:1
SEGD24:1
SEGD25:1
SEGD26:1
SEGD27:1
SEGD28:1
SEGD3:1
SEGD4:1
SEGD5:1
SEGD6:1
SEGD7:1
SEGD8:1
SEGD9:1
U1:1
U10:1
U11:1
U12:1
U13:1
U14:1
U15:1
U16:1
U17:1
U18:1
U19:1
U2:1
U20:1
U21:1
U22:1
U23:1
U24:1
U25:1
U26:1
U27:1
U28:1
U29:1
U3:1
U30:1
U31:1
U32:1
U33:1
U34:1
U35:1
U36:1
U37:1
U38:1
U39:1
U4:1
U40:1
U41:1
U42:1
U43:1
U44:1
U45:1
U46:1
U47:1
U48:1
U49:1
U5:1
U50:1
U51:1
U52:1
U53:1
U54:1
U55:1
U56:1
U6:1
U7:1
U8:1
U9:1
