Designator,Mid X,Mid Y,Rotation,Layer
R196,220.375,-75.73363,90.0,top
R197,220.375,-78.13363,90.0,top
R198,220.375,-80.53113,270.0,top
R199,220.375,-82.93113,270.0,top
R2,71.785,-78.13363,90.0,top
R20,83.215,-85.33113,270.0,top
R200,220.375,-85.33113,270.0,top
R201,220.375,-70.93363,90.0,top
R202,220.375,-73.33363,90.0,top
R203,224.275,-66.53113,180.0,top
R204,227.675,-66.53113,0.0,top
R205,229.975,-66.53113,0.0,top
R206,227.575,-88.33113,0.0,top
R207,225.275,-88.33113,0.0,top
R208,222.975,-88.33113,0.0,top
R209,220.375,-87.73113,270.0,top
R21,83.215,-70.93363,90.0,top
R210,229.875,-88.33113,0.0,top
R211,71.8,-98.72363,90.0,top
R212,71.8,-101.12363,90.0,top
R213,71.8,-103.52113,270.0,top
R214,71.8,-105.92113,270.0,top
R215,71.8,-108.32113,270.0,top
R216,71.8,-93.92363,90.0,top
R217,71.8,-96.32363,90.0,top
R218,75.7,-89.52113,180.0,top
R219,79.1,-89.52113,0.0,top
R22,83.215,-73.33363,90.0,top
R220,81.4,-89.52113,0.0,top
R221,79.0,-111.32113,0.0,top
R222,76.7,-111.32113,0.0,top
R223,74.4,-111.32113,0.0,top
R224,71.8,-110.72113,270.0,top
R225,81.3,-111.32113,0.0,top
R226,83.215,-98.72363,90.0,top
R227,83.215,-101.12363,90.0,top
R228,83.215,-103.52113,270.0,top
R229,83.215,-105.92113,270.0,top
R23,87.115,-66.53113,180.0,top
R230,83.215,-108.32113,270.0,top
R231,83.215,-93.92363,90.0,top
R232,83.215,-96.32363,90.0,top
R233,87.115,-89.52113,180.0,top
R234,90.515,-89.52113,0.0,top
R235,92.815,-89.52113,0.0,top
R236,90.415,-111.32113,0.0,top
R237,88.115,-111.32113,0.0,top
R238,85.815,-111.32113,0.0,top
R239,83.215,-110.72113,270.0,top
R24,90.515,-66.53113,0.0,top
R240,92.715,-111.32113,0.0,top
R241,94.645,-98.72363,90.0,top
R242,94.645,-101.12363,90.0,top
R243,94.645,-103.52113,270.0,top
R244,94.645,-105.92113,270.0,top
R245,94.645,-108.32113,270.0,top
R246,94.645,-93.92363,90.0,top
R247,94.645,-96.32363,90.0,top
R248,98.545,-89.52113,180.0,top
R249,101.945,-89.52113,0.0,top
R25,92.815,-66.53113,0.0,top
R250,104.245,-89.52113,0.0,top
R251,101.845,-111.32113,0.0,top
R252,99.545,-111.32113,0.0,top
R253,97.245,-111.32113,0.0,top
R254,94.645,-110.72113,270.0,top
R255,104.145,-111.32113,0.0,top
R256,106.075,-98.72363,90.0,top
R257,106.075,-101.12363,90.0,top
R258,106.075,-103.52113,270.0,top
R259,106.075,-105.92113,270.0,top
R26,90.415,-88.33113,0.0,top
R260,106.075,-108.32113,270.0,top
R261,106.075,-93.92363,90.0,top
R262,106.075,-96.32363,90.0,top
R263,109.975,-89.52113,180.0,top
R264,113.375,-89.52113,0.0,top
R265,115.675,-89.52113,0.0,top
R266,113.275,-111.32113,0.0,top
R267,110.975,-111.32113,0.0,top
R268,108.675,-111.32113,0.0,top
R269,106.075,-110.72113,270.0,top
R27,88.115,-88.33113,0.0,top
R270,115.575,-111.32113,0.0,top
R271,117.505,-98.72363,90.0,top
R272,117.505,-101.12363,90.0,top
R273,117.505,-103.52113,270.0,top
R274,117.505,-105.92113,270.0,top
R275,117.505,-108.32113,270.0,top
R276,117.505,-93.92363,90.0,top
R277,117.505,-96.32363,90.0,top
R278,121.405,-89.52113,180.0,top
R279,124.805,-89.52113,0.0,top
R28,85.815,-88.33113,0.0,top
R280,127.105,-89.52113,0.0,top
R281,124.705,-111.32113,0.0,top
R282,122.405,-111.32113,0.0,top
R283,120.105,-111.32113,0.0,top
R284,117.505,-110.72113,270.0,top
R285,127.005,-111.32113,0.0,top
R286,128.935,-98.72363,90.0,top
R287,128.935,-101.12363,90.0,top
R288,128.935,-103.52113,270.0,top
R289,128.935,-105.92113,270.0,top
R29,83.215,-87.73113,270.0,top
R290,128.935,-108.32113,270.0,top
R291,128.935,-93.92363,90.0,top
