"Qty","DigiKey Part #"
"1","1276-1002-1-ND"
"3","4878-1N4007CT-ND"
"3","BC547CBU-ND"
"3","CF18JT680RCT-ND"
"5","EG6030-ND"
"3","2449-J104D2C3VDC.20S-ND"
