"Qty","DigiKey Part #"
"8","0402B104K160CT"
"2","GRM155R71H222KA01D"
"2","860020672006"
"4","860020472003"
"1","SJ1-3523N"
"1","691137710002"
"2","PH1-20-UA"
"5","RC0603JR-07470RL"
"1","PCM5102APWR"
"1","NE5532DR"
"1","TCR2EF33,LM(CT"
