C1:1
D1:1
D2:1
D3:1
G***:7
J1:1
J2:1
J3:1
J4:1
J5:1
Q1:1
Q2:1
Q3:1
R1:1
R2:1
R3:1
S1:1
S2:1
S3:1
S4:1
S5:1
U1:1
U2:1
U3:1
U4:1
